,ReH,ReE,ReHT,index,replica,set
1,0.9946425289311438,1.6743255207181882,-1.6293265861333834,1,75,85
2,0.9946350164001845,1.6742539837419879,-1.6293191763254056,2,75,85
3,0.9946431344877757,1.6743312870796818,-1.6293271834198892,3,75,85
0,1.554613216316151,-1.8448440777759934,-3.4459883635986355,0,76,85
1,1.554594054620884,-1.84479159555729,-3.446002431735552,1,76,85
2,1.5547284655425477,-1.8451597354173366,-3.445903749892855,2,76,85
3,1.5546039622197425,-1.8448187315994191,-3.4459951577736536,3,76,85
0,1.5475545022532629,-3.164715010200239,1.587178450699133,0,77,85
1,1.5475188724623918,-3.1647038610750076,1.5872086280534663,1,77,85
2,1.5472965637399099,-3.164634297158427,1.587396916823574,2,77,85
3,1.5475364037906405,-3.1647093469038854,1.5871937795496691,3,77,85
0,-1.678220306758769,9.99155524655665,5.381881006897121,0,78,85
1,-1.6773172488565287,9.98029778537843,5.372554311310564,1,78,85
2,-1.6773826897956634,9.981113567863058,5.3732301790564785,2,78,85
3,-1.6772466951846443,9.979418267860986,5.371825639721437,3,78,85
0,1.6785403633608373,-3.502695676282711,-0.2627423618246591,0,79,85
1,1.678525991085893,-3.502703447861169,-0.2627672936456147,1,79,85
2,1.6786294203309184,-3.502647520127237,-0.26258787332294076,2,79,85
3,1.6785333689586772,-3.5026994583949973,-0.26275449512416493,3,79,85
0,0.92891032556359,0.044877912700076295,5.57684741928202,0,80,85
1,0.9290136324277967,0.045009282224300645,5.576851451027402,1,80,85
2,0.9289198170986311,0.044889982547962774,5.5768477897074025,2,80,85
3,0.9289249209267497,0.04489647280268966,5.576847988895855,3,80,85
0,0.9688399487144235,1.5734974648483822,-0.7664131003605605,0,81,85
1,0.968839453123446,1.573497308731202,-0.7664127868358485,1,81,85
2,0.9688384035382316,1.5734969795257538,-0.7664121229058225,2,81,85
3,0.9688393626125179,1.5734972803985516,-0.7664127295849847,3,81,85
0,2.112178989420851,-4.725624127439816,-9.917724589297524,0,82,85
1,2.109102365421162,-4.7210417365990285,-9.910116009221895,1,82,85
2,2.109532109991264,-4.721681807528029,-9.91117877996422,2,82,85
3,2.1093253158626246,-4.721373803845985,-9.910667372107534,3,82,85
0,0.8590828144583951,1.5009483352633861,2.329909747151387,0,83,85
1,0.8591905182651305,1.501260038635007,2.3296724003451565,1,83,85
2,0.8590981517407721,1.5009927225685655,2.3298759483997635,2,83,85
3,0.8590907204979107,1.5009712159730761,2.3298923246152112,3,83,85
0,0.891185455445596,1.743742513674337,0.5706286788377632,0,84,85
1,0.8912265646589763,1.7437619588280597,0.5706472795675969,1,84,85
2,0.8912068516365899,1.7437526343295935,0.570638359995795,2,84,85
3,0.8914799576617917,1.7438818167963779,0.5707619325492751,3,84,85
