,set,replica,ReH,ReE,ReHT
7587,77.0,87.0,0.9044648128158039,3.0886336340014804,-2.548352609890287
7588,77.0,88.0,-3.22615163125788,-4.8610286215365015,8.522145728783883
7589,77.0,89.0,0.8799589063236719,-3.204188880310531,3.74010956901994
7590,77.0,90.0,1.009934397990064,-2.0095122328180866,-1.9562820999576913
7591,77.0,91.0,0.8686508507965081,-2.6831012581718507,3.637109145146275
7592,77.0,92.0,0.8319629865212926,3.7963515355276956,0.226615186714106
7593,77.0,93.0,0.8222284757284557,1.191089960212538,2.236138158983012
7594,77.0,94.0,1.207160794295052,7.7302608137276945,1.1007051915310682
7595,77.0,95.0,1.0495881538716891,1.8846652706936045,-4.14050998385561
7596,77.0,96.0,0.9153857699368002,3.834387393218355,-2.8607838136632573
7597,77.0,97.0,0.9753063368353783,-4.491468962730167,0.8635966200705603
7598,77.0,98.0,0.8207705984869752,3.8630981606520596,-0.276910523151507
7599,77.0,99.0,3.689197149442117,-0.3279568717810653,-7.986475842039077
7600,78.0,0.0,-2.3692320693411784,-8.83511824371489,-1.7780212477512432
7601,78.0,1.0,1.271743691882964,0.9100568343267113,-6.918908415551736
7602,78.0,2.0,1.3563805595563352,0.5445720076147789,-6.001544342632901
7603,78.0,3.0,1.2164063586200122,-2.025683803948435,-0.9037353755276413
7604,78.0,4.0,0.5011709733242233,2.2875460600684145,2.929736071605344
7605,78.0,5.0,0.904862001028317,1.5219521080538776,-1.542546885345124
7606,78.0,6.0,0.49693251225082835,1.3159641850151118,4.8982750187935915
7607,78.0,7.0,0.7714039707146234,-0.698861586792534,3.5810534062329586
7608,78.0,8.0,0.3104584187081524,4.838879164954246,3.021649156271101
7609,78.0,9.0,1.0931208007019704,1.2029899264103698,-4.110223937389206
7610,78.0,10.0,1.0370782886963261,-3.1903790151825575,3.2637180715457808
7611,78.0,11.0,0.6856193354100396,-1.10388659902859,5.4340254209279495
7612,78.0,12.0,0.6482579739475796,0.9422604176760835,2.9535961613009762
