,#Set,ReH,sigmaReH,ReE,sigmaReE,ReHtilde,sigmaReHtilde
9810,218,0.770110305,0.521635307,-7.188649705,22.97053374,7.30126482,19.88308247
9855,219,1.006153613,0.171062809,2.207026306,17.13345459,0.853464226,13.87516207
9900,220,0.361859446,0.580997729,1.246080242,11.32512949,1.910622055,5.318223694
9945,221,1.288241972,0.331686624,-4.129034276,24.79230949,5.691529689,21.52089583
9990,222,1.065745984,2.50567564,-2.339981965,18.16403612,3.819352778,4.717930895
10035,223,0.616417897,1.31709413,-5.978252339,49.13339906,5.776975691,42.55482884
10080,224,1.274363326,3.347537434,-3.073053003,20.40336234,2.715986981,5.063792312
10125,225,2.422050581,3.899810844,-8.563726189,23.96905445,5.38176326,6.515169183
10170,226,1.094573292,0.191443088,-1.326503619,20.58612826,3.390704301,17.11491113
10215,227,0.640704186,2.841485699,-0.405224917,20.04957257,2.221511618,4.060009803
10260,228,0.665937557,0.882260668,-0.633058661,9.195874287,4.175754255,4.23144798
10305,229,1.474884739,0.75646472,-7.322537677,39.95977237,8.57342983,34.21475515
10350,230,1.017041849,0.988813566,0.389288678,12.28061125,2.116941645,7.299429648
10395,231,1.468049774,1.054400379,-2.851481599,12.10254715,4.13397759,7.304579431
10440,232,1.644355035,1.19377164,-4.642431898,13.98941534,6.348774095,8.843111591
10485,233,1.251547497,0.440251142,-1.103490219,15.39528483,4.293361353,12.35633976
10530,234,1.118058017,0.788498716,-4.637258483,10.78151607,4.695532763,5.896428106
10575,235,1.292850785,0.797905373,-7.595715057,27.19921569,7.06077835,16.78975103
10620,236,0.80959772,0.748158394,-1.617172414,10.26237921,3.36272388,5.579581508
10665,237,1.673712585,0.29196016,-2.379072852,18.65490969,4.275680839,15.57230218
10710,238,1.623447057,2.531906632,-8.270599664,18.82142914,3.300215222,4.255888423
10755,239,1.197677766,1.27643866,-1.643515227,11.04199767,2.35222409,5.405583179
10800,240,1.191460454,0.798203652,-6.550593465,43.32705401,7.650163503,32.97104061
10845,241,1.067677042,0.935640508,-1.835768681,12.00287744,3.438479768,7.187145873
10890,242,0.207949629,0.274999758,-1.140823267,6.754796529,1.799490267,1.911197174
10935,243,1.619389781,0.221282893,-5.890191883,24.12296776,8.039179467,21.51370373
10980,244,-0.495171154,7.56933517,6.071047211,60.29873966,1.643071967,5.572748177
11025,245,0.930600347,2.046668871,-1.328535792,17.27391148,3.491065679,5.692619477
11070,246,0.475281412,0.325115481,-1.692292678,22.06634836,2.997402461,12.54283002
11115,247,3.105960351,12.29147517,-13.76783341,70.95919743,3.288403801,6.362042591
11160,248,1.123457246,3.669113496,-1.649941532,38.93862342,-4.097639584,23.47905684
11205,249,1.332737603,2.842487943,-6.064798129,23.44229839,3.18941406,5.598455984
11250,250,0.71961668,0.350425128,-2.304943586,8.158686732,3.516819161,4.828844271
11295,251,0.54457612,0.146867551,-12.77478942,19.03227846,10.34897894,14.08679151
11340,252,1.453760261,0.876767873,-4.312873542,10.37906078,5.101224242,5.904092074
11385,253,0.491110935,0.902792738,-0.682493208,9.228715142,2.631743308,3.056082747
11430,254,0.336921095,0.118887679,-3.49689195,7.878856931,3.035112528,4.013015501
11475,255,1.274079859,2.811441823,-4.654794177,19.36086755,3.858998862,4.204304202
11520,256,1.06900473,1.394645514,0.195550174,38.59433617,2.539814248,35.10495353
11565,257,0.237492732,0.450275102,-0.179200429,7.886490762,2.016478002,2.500623472
11610,258,0.934406326,3.117377472,-0.132866474,19.34930138,2.181416334,4.425411404
11655,259,0.87659703,0.814893749,-3.477200369,8.903869742,3.775229082,3.766036186
11700,260,0.924046888,1.101017134,-3.774002317,11.75749266,3.816022844,4.705353097
11745,261,1.301302269,3.148085424,-6.544103242,23.91738181,3.593052751,3.437829448
11790,262,1.567034621,0.84624598,-2.598646812,19.170528,4.177819758,16.35734141
11835,263,0.903741106,0.361675813,0.237420092,11.96545893,2.176501892,8.993361796
11880,264,1.490847762,1.45996564,-3.311117768,14.15609058,3.92904899,7.680242252
11925,265,1.275574566,5.479227029,-3.645303054,32.56261401,3.058058078,5.077112963
11970,266,1.341636169,3.274880404,0.647466183,56.41065694,3.600079571,6.684816902
12015,267,1.187180445,1.123120987,-3.145515335,11.66775646,4.251700193,5.714607025
12060,268,1.11210406,1.787888472,-1.696523055,67.21567152,4.548940358,10.4091538
12105,269,1.737703063,2.265409277,-4.986703019,19.19752288,5.393219834,8.315035699
12150,270,0.668430156,0.293154596,-4.750344307,9.909038637,4.143493364,6.110608712
12195,271,1.408323955,0.398852043,0.769009052,29.65640083,0.857585058,24.27023281
12240,272,1.423139669,0.1407894,-5.30154112,19.3769198,6.754679927,18.64340381
12285,273,3.646850032,8.50824376,-17.81771044,50.97879842,4.364076815,6.544615336
12330,274,1.064343146,1.03104325,-2.228213965,32.6017445,4.39587748,28.91251063
12375,275,0.704487977,0.557078865,-3.433057582,8.136858157,3.379733163,4.021719916
12420,276,0.830814685,0.929246959,-0.525937235,11.28006784,3.109469401,5.97009582
12465,277,0.564657646,3.668308537,0.653409679,29.37223048,2.698258022,7.502400529
12510,278,0.797966513,0.986907298,0.14823671,10.34266772,1.930725677,4.957069243
12555,279,-2.053812736,46.39465019,-47.66741012,545.1859289,46.98023327,538.8055269
12600,280,0.275390461,1.560563795,1.023584993,14.26178457,2.457863935,2.563419305
12645,281,0.591535485,0.660243105,-12.40451871,23.52289226,12.17134834,20.60806896
12690,282,1.724878622,0.12675314,-4.468470201,19.62210041,6.226625517,18.29915336
12735,283,1.006182763,0.311952013,-0.34355067,20.23995152,2.783310126,16.88361436
12780,284,0.440374291,0.554204601,-0.188687162,11.30026453,2.496197757,5.507163066
12825,285,0.861017874,1.745151176,-1.082246036,13.60268636,3.33592394,4.938549308
12870,286,-0.011588585,5.769694376,4.588985366,35.23888144,1.960460408,4.237454823
12915,287,1.250085163,0.536374975,-5.497836876,25.31246368,6.8557228,22.72029355
12960,288,0.657048049,2.109394089,0.443252015,15.31178671,3.166129675,4.10498158
13005,289,0.995896783,0.729558094,-2.591957789,12.29665979,4.43736979,8.124165217
13050,290,1.291824409,3.842484384,-1.561823647,23.82516753,3.414075043,6.874521611
13095,291,1.180318632,1.25645316,-0.261892471,20.10030638,2.855803033,12.09135974
13140,292,1.189324608,0.794289674,-1.554863601,14.27772852,4.040191216,9.744314248
13185,293,0.948506083,2.478860897,-2.548937937,17.75446826,2.66469784,3.789329953
13230,294,1.191354494,0.730889017,-2.911147461,9.600382711,4.126959254,5.975215706
13275,295,0.752553083,0.8346063,-1.320747409,9.012788475,4.351786256,4.363705413
13320,296,1.274039703,0.834443716,-3.028514249,11.03125607,4.31616242,6.891424458
13365,297,1.522447162,1.200512217,-2.838257218,11.49798098,4.111877874,6.585445212
13410,298,0.907751965,0.853395344,-1.307480184,12.41613171,3.619486908,6.849875308
13455,299,1.385061468,1.008943364,-2.154704422,12.49832316,3.755766808,7.981210314
13500,300,1.496411514,1.059079505,-2.659728115,13.46235979,5.043994105,8.600444392
13545,301,1.457731998,1.589004952,-25.14033879,51.29171164,13.85456485,25.85713696
13590,302,1.336922804,0.705236709,-11.41807476,27.52052919,9.603074667,17.33802682
13635,303,0.282749747,0.716573839,1.980051569,14.78621835,0.900016881,6.907770963
13680,304,1.671160137,0.145648241,-3.587121669,16.71627727,5.07928165,14.41063885
13725,305,1.671573628,1.903464219,-8.759872515,14.4703198,3.564788739,3.551744801
13770,306,1.350598976,1.15434976,-3.240748342,10.50512112,3.422913413,5.452340591
13815,307,1.287742961,0.925060224,-1.304589062,37.58153845,3.618219189,29.56096705
13860,308,1.050173725,0.770668095,-1.780787793,10.67792492,3.476958608,6.582357164
13905,309,1.559223897,0.473820437,-6.534809885,26.26729597,8.827332782,24.38478865
13950,310,0.424878379,0.296437673,2.718014289,25.19706334,0.249325864,14.68445543
13995,311,0.668072233,0.340832374,-1.253477959,9.026856863,2.948420114,5.492964527
14040,312,1.288802268,0.92524243,-2.629214041,11.73149824,4.144117732,6.877773022
14085,313,2.972138294,5.369947212,-38.87343382,129.3254647,21.48983075,63.38987471
14130,314,0.602308736,0.796954849,-1.772606067,8.325414231,3.009697111,2.783330672
14175,315,0.313445213,0.111142348,-1.791913289,8.946503812,2.181958361,4.612696633
14220,316,0.693294827,1.542694465,-9.099160193,36.32858726,11.14498574,33.81487476
14265,317,1.065188633,2.486365408,-0.859224882,15.56629887,2.273239215,3.810050094
14310,318,0.610800831,0.687448688,-0.532353234,7.73188126,2.670042546,3.397628505
14355,319,1.545694614,1.510488108,-3.322552404,13.89266807,4.664978036,7.182934258
14400,320,0.82542597,0.784039737,-4.938856615,10.98771044,4.309076819,5.145351944
14445,321,1.515658515,0.875115424,-1.55181623,15.19563507,3.654588267,10.62801836
14490,322,0.582548402,2.850075755,-1.258369432,21.72117667,2.938808964,3.310579393
14535,323,1.381921246,1.394897492,-3.333146032,12.79184461,3.641749327,6.166243096
14580,324,1.591885449,0.655629451,-3.593632646,20.82109765,5.359940384,18.55656341
14625,325,1.008138194,0.302926997,-3.19531608,11.99013334,4.862421604,9.238624671
14670,326,1.708562343,1.335723867,-5.382621377,13.48609304,5.020491402,7.535401444
14715,327,0.892080656,1.702891574,-3.536979422,14.17402747,3.079952688,3.453267517
14760,328,1.948610907,0.216794003,-3.18979229,22.09455491,2.779929033,21.39591875
14805,329,1.33980807,1.942107623,-1.482381105,13.85880899,4.213957515,5.183450958
14850,330,1.15805652,0.887885759,-2.893280044,9.613044085,4.114337404,4.894522551
14895,331,1.189452163,1.774825916,-4.169820183,69.65240017,4.911355727,11.11883316
14940,332,0.462158327,0.509884845,-2.136119592,7.423047186,2.349383213,2.43192479
14985,333,0.62241126,0.217344823,-3.016092966,8.584102378,3.013385866,5.40363829
15030,334,1.284070248,0.640859383,-6.747411901,30.65448268,7.010716727,25.98677414
15075,335,1.680506664,0.321459168,-6.026708161,18.02277037,7.469838591,16.16529473
15120,336,1.837592162,7.591137669,-4.207641305,65.66875171,4.555926406,23.48187546
15165,337,1.401800154,0.175921036,-5.584020304,21.20621836,6.906116681,20.94170003
15210,338,-0.386734733,4.844870223,6.472741985,29.67352555,0.348071566,5.142822268
15255,339,1.104872742,1.310920884,-1.140270959,35.03045217,3.519858488,31.90640307
15300,340,0.90425226,0.842520568,-1.202915466,10.84357856,3.488090394,5.983543376
15345,341,1.117851919,0.353403621,0.109046846,12.65921795,2.662649212,10.3800213
