#Set,index,k,QQ,x_b,t,phi_x,F,sigmaF,varF,F1,F2
4,17,2.75,1.44409,0.463857,-0.483145,144,0.0649573,0.00324787,0.05,0.422266,0.564449
4,18,2.75,1.44409,0.463857,-0.483145,152,0.0633997,0.00316999,0.05,0.422266,0.564449
4,19,2.75,1.44409,0.463857,-0.483145,160,0.0681101,0.00340551,0.05,0.422266,0.564449
4,20,2.75,1.44409,0.463857,-0.483145,168,0.0657784,0.00328892,0.05,0.422266,0.564449
4,21,2.75,1.44409,0.463857,-0.483145,176,0.0656185,0.00328092,0.05,0.422266,0.564449
4,22,2.75,1.44409,0.463857,-0.483145,184,0.065053,0.00325265,0.05,0.422266,0.564449
4,23,2.75,1.44409,0.463857,-0.483145,192,0.070554,0.0035277,0.05,0.422266,0.564449
4,24,2.75,1.44409,0.463857,-0.483145,200,0.065161,0.00325805,0.05,0.422266,0.564449
4,25,2.75,1.44409,0.463857,-0.483145,208,0.0678058,0.00339029,0.05,0.422266,0.564449
4,26,2.75,1.44409,0.463857,-0.483145,216,0.0673808,0.00336904,0.05,0.422266,0.564449
4,27,2.75,1.44409,0.463857,-0.483145,224,0.0692631,0.00346315,0.05,0.422266,0.564449
4,28,2.75,1.44409,0.463857,-0.483145,232,0.0733539,0.00366769,0.05,0.422266,0.564449
4,29,2.75,1.44409,0.463857,-0.483145,240,0.0714414,0.00357207,0.05,0.422266,0.564449
4,30,2.75,1.44409,0.463857,-0.483145,248,0.0769906,0.00384953,0.05,0.422266,0.564449
4,31,2.75,1.44409,0.463857,-0.483145,256,0.0719937,0.00359968,0.05,0.422266,0.564449
4,32,2.75,1.44409,0.463857,-0.483145,264,0.0744499,0.00372249,0.05,0.422266,0.564449
4,33,2.75,1.44409,0.463857,-0.483145,272,0.0823039,0.0041152,0.05,0.422266,0.564449
4,34,2.75,1.44409,0.463857,-0.483145,280,0.0922781,0.0046139,0.05,0.422266,0.564449
4,35,2.75,1.44409,0.463857,-0.483145,288,0.108463,0.00542315,0.05,0.422266,0.564449
4,36,2.75,1.44409,0.463857,-0.483145,296,0.12745,0.00637252,0.05,0.422266,0.564449
4,37,2.75,1.44409,0.463857,-0.483145,304,0.136014,0.0068007,0.05,0.422266,0.564449
4,38,2.75,1.44409,0.463857,-0.483145,312,0.178051,0.00890256,0.05,0.422266,0.564449
4,39,2.75,1.44409,0.463857,-0.483145,320,0.231495,0.0115748,0.05,0.422266,0.564449
4,40,2.75,1.44409,0.463857,-0.483145,328,0.284507,0.0142253,0.05,0.422266,0.564449
4,41,2.75,1.44409,0.463857,-0.483145,336,0.385223,0.0192612,0.05,0.422266,0.564449
