,phi_x,k,QQ,x_b,t,F1,F2,dvcs,F,sigmaF,F_cal,sigmaF_cal,ReH,sigmaReH,ReE,sigmaReE,ReHtilde,sigmaReHtilde,#Set
8831,96,16.0,4.0906400000000005,0.487249,-0.480505,0.423732,0.567157,0.0041152,0.00417808,0.00020890400000000002,0.004451288690139145,1.3233800401270333e-05,1.3985628612204009,0.9576491286000032,0.1979947537405206,16.44170426551969,1.8454348271098358,13.361606935334763,196
8832,104,16.0,4.0906400000000005,0.487249,-0.480505,0.423732,0.567157,0.0041152,0.00427396,0.00021369799999999999,0.004396630761454028,2.7814401545011497e-05,1.3985628612204009,0.9576491286000032,0.1979947537405206,16.44170426551969,1.8454348271098358,13.361606935334763,196
8833,112,16.0,4.0906400000000005,0.487249,-0.480505,0.423732,0.567157,0.0041152,0.00473009,0.000236505,0.004358414729993896,3.7874188952302586e-05,1.3985628612204009,0.9576491286000032,0.1979947537405206,16.44170426551969,1.8454348271098358,13.361606935334763,196
8834,120,16.0,4.0906400000000005,0.487249,-0.480505,0.423732,0.567157,0.0041152,0.0041997,0.000209985,0.0043340259350896785,4.352930183056726e-05,1.3985628612204009,0.9576491286000032,0.1979947537405206,16.44170426551969,1.8454348271098358,13.361606935334763,196
8835,128,16.0,4.0906400000000005,0.487249,-0.480505,0.423732,0.567157,0.0041152,0.0044348,0.00022174,0.004320658914713954,4.6329288167032564e-05,1.3985628612204009,0.9576491286000032,0.1979947537405206,16.44170426551969,1.8454348271098358,13.361606935334763,196
8836,136,16.0,4.0906400000000005,0.487249,-0.480505,0.423732,0.567157,0.0041152,0.00453834,0.000226917,0.004315498972811799,4.8945519589506775e-05,1.3985628612204009,0.9576491286000032,0.1979947537405206,16.44170426551969,1.8454348271098358,13.361606935334763,196
8837,144,16.0,4.0906400000000005,0.487249,-0.480505,0.423732,0.567157,0.0041152,0.00411147,0.000205574,0.004315868525178684,5.383223499615725e-05,1.3985628612204009,0.9576491286000032,0.1979947537405206,16.44170426551969,1.8454348271098358,13.361606935334763,196
8838,152,16.0,4.0906400000000005,0.487249,-0.480505,0.423732,0.567157,0.0041152,0.00409154,0.000204577,0.00431934770032233,6.142785037316661e-05,1.3985628612204009,0.9576491286000032,0.1979947537405206,16.44170426551969,1.8454348271098358,13.361606935334763,196
8839,160,16.0,4.0906400000000005,0.487249,-0.480505,0.423732,0.567157,0.0041152,0.00470966,0.00023548299999999998,0.004323874681337606,7.005967968843516e-05,1.3985628612204009,0.9576491286000032,0.1979947537405206,16.44170426551969,1.8454348271098358,13.361606935334763,196
8840,168,16.0,4.0906400000000005,0.487249,-0.480505,0.423732,0.567157,0.0041152,0.0043834,0.00021917,0.004327827849581178,7.739598323220288e-05,1.3985628612204009,0.9576491286000032,0.1979947537405206,16.44170426551969,1.8454348271098358,13.361606935334763,196
8841,176,16.0,4.0906400000000005,0.487249,-0.480505,0.423732,0.567157,0.0041152,0.00404896,0.00020244799999999998,0.004330089464053951,8.156164581183297e-05,1.3985628612204009,0.9576491286000032,0.1979947537405206,16.44170426551969,1.8454348271098358,13.361606935334763,196
8842,184,16.0,4.0906400000000005,0.487249,-0.480505,0.423732,0.567157,0.0041152,0.00434709,0.000217355,0.0043300894640554664,8.156164581462034e-05,1.3985628612204009,0.9576491286000032,0.1979947537405206,16.44170426551969,1.8454348271098358,13.361606935334763,196
8843,192,16.0,4.0906400000000005,0.487249,-0.480505,0.423732,0.567157,0.0041152,0.00447491,0.00022374599999999998,0.004327827849585357,7.739598323991596e-05,1.3985628612204009,0.9576491286000032,0.1979947537405206,16.44170426551969,1.8454348271098358,13.361606935334763,196
8844,200,16.0,4.0906400000000005,0.487249,-0.480505,0.423732,0.567157,0.0041152,0.00431641,0.00021582,0.004323874681343358,7.005967969918432e-05,1.3985628612204009,0.9576491286000032,0.1979947537405206,16.44170426551969,1.8454348271098358,13.361606935334763,196
8845,208,16.0,4.0906400000000005,0.487249,-0.480505,0.423732,0.567157,0.0041152,0.00455466,0.00022773299999999998,0.004319347700327875,6.142785038409826e-05,1.3985628612204009,0.9576491286000032,0.1979947537405206,16.44170426551969,1.8454348271098358,13.361606935334763,196
8846,216,16.0,4.0906400000000005,0.487249,-0.480505,0.423732,0.567157,0.0041152,0.00459736,0.000229868,0.00431586852518164,5.383223500436638e-05,1.3985628612204009,0.9576491286000032,0.1979947537405206,16.44170426551969,1.8454348271098358,13.361606935334763,196
